type;nom;adresse;commune_fr;potable;dog_friendly;statut;surface_m2;lat;lon
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.8334086718";"4.345798966"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.8934684358";"4.3634656899"
"borne_eau_potable";"";"";"Saint-josse-ten-noode";"oui";"";"";"";"50.8491193424";"4.3695386415"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.817693833";"4.3725812851"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.8404760217";"4.3647320378"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.7973150152";"4.3952589401"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.8379300203";"4.3805995182"
"borne_eau_potable";"";"";"Saint-gilles";"oui";"";"";"";"50.8334417804";"4.3503673159"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.8799239593";"4.355896761"
"borne_eau_potable";"";"";"Ixelles";"oui";"";"";"";"50.8395685384";"4.3723556147"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.8145683921";"4.3723582276"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.8406691975";"4.3796905639"
"borne_eau_potable";"";"";"Bruxelles";"oui";"";"";"";"50.8493124238";"4.3381935494"
"fontaine_voirie";"";"";"Bruxelles Brussel";"";"";"";"";"50.83308678955589";"4.357889805481684"
"fontaine_voirie";"";"";"Bruxelles Brussel";"";"";"";"";"50.840404928351774";"4.38022301418419"
"fontaine_voirie";"";"";"Ixelles Elsene";"";"";"";"";"50.81981671278733";"4.411930371647959"
"fontaine_voirie";"";"";"Bruxelles Brussel";"";"";"";"";"50.85666605055187";"4.355496023131898"
"fontaine_voirie";"";"";"Schaerbeek Schaarbeek";"";"";"";"";"50.846982260519816";"4.3937709202755295"
"fontaine_voirie";"";"";"Saint-Josse-ten-Noode Sint-Joost-ten-Node";"";"";"";"";"50.83717551098568";"4.395884053305977"
"fontaine_voirie";"";"";"Bruxelles Brussel";"";"";"";"";"50.83685627973891";"4.357738664594357"
"fontaine_voirie";"";"";"Uccle Ukkel";"";"";"";"";"50.821630552694735";"4.340763147142418"
"fontaine_voirie";"";"";"Molenbeek-Saint-Jean Sint-Jans-Molenbeek";"";"";"";"";"50.88535136914024";"4.317241104468256"
"fontaine_voirie";"";"";"Schaerbeek Schaarbeek";"";"";"";"";"50.85223623766746";"4.388007517212062"
"fontaine_voirie";"";"";"Anderlecht";"";"";"";"";"50.8464873416842";"4.298823509470084"
"fontaine_voirie";"";"";"Saint-Josse-ten-Noode Sint-Joost-ten-Node";"";"";"";"";"50.83949463984114";"4.4125361109486505"
"fontaine_voirie";"";"";"Saint-Josse-ten-Noode Sint-Joost-ten-Node";"";"";"";"";"50.83743402673224";"4.407607182086181"
"fontaine_voirie";"";"";"Saint-Gilles Sint-Gillis";"";"";"";"";"50.83657017155425";"4.334355082200769"
"fontaine_voirie";"";"";"Molenbeek-Saint-Jean Sint-Jans-Molenbeek";"";"";"";"";"50.86278760223285";"4.316787558603789"
"fontaine_voirie";"";"";"Schaerbeek Schaarbeek";"";"";"";"";"50.857723583302686";"4.397676933319988"
"fontaine_voirie";"";"";"Uccle Ukkel";"";"";"";"";"50.82160846843667";"4.3424910068330105"
"fontaine_voirie";"";"";"Anderlecht";"";"";"";"";"50.83292432937978";"4.330629958580996"
"fontaine_voirie";"";"";"Bruxelles Brussel";"";"";"";"";"50.81503493937176";"4.37238995705755"
"fontaine_voirie";"";"";"Molenbeek-Saint-Jean Sint-Jans-Molenbeek";"";"";"";"";"50.863444053255144";"4.32969140071083"
"fontaine_voirie";"";"";"Saint-Gilles Sint-Gillis";"";"";"";"";"50.826956405781885";"4.344574839388728"
"etang_bassin";"Bassin 2 Château du Belvédère";"";"";"";"";"";"94.71";"50.89056166922205";"4.35499326508569"
"etang_bassin";"Mare du Kattenberg aval";"";"";"";"";"";"84.08";"50.8923347140776";"4.3498900707741015"
"etang_bassin";"Le Bassin Vert";"";"";"";"";"";"1142.19";"50.84566344701848";"4.364207678966406"
"etang_bassin";"Bassin Fontaine Anspach";"";"";"";"";"";"1801.81";"50.85328380224619";"4.34706663740771"
"etang_bassin";"Bassin circulaire";"";"";"";"";"";"560.56";"50.84698304620597";"4.384166134186724"
"etang_bassin";"Etang 2 Stuyvenberg";"";"";"";"";"";"1577.59";"50.89086605724733";"4.347067013158626"
"etang_bassin";"Etang 2 Stuyvenberg";"";"";"";"";"";"1891.78";"50.88774207043331";"4.345875053893831"
"etang_bassin";"Mare Domaine Royal de Laeken";"";"";"";"";"";"315.9";"50.884230697046874";"4.360956413429599"
"etang_bassin";"Bassin des Otaries";"";"";"";"";"";"73.14";"50.838454963593364";"4.379171853535252"
"etang_bassin";"Bassin Cheval à l'Abreuvoir";"";"";"";"";"";"147.14";"50.84694337542402";"4.382729662327347"
"etang_bassin";"Etang 4 du Tweebeek";"";"";"";"";"";"289.47";"50.9004794132794";"4.396580997742983"
"etang_bassin";"Bassin Pierre le Grand";"";"";"";"";"";"3.69";"50.842907614302064";"4.363687656546081"
"etang_bassin";"Bassin KVS / Théatre Flamand";"";"";"";"";"";"601.05";"50.8555194685575";"4.350476661840334"
"etang_bassin";"Etang Hoogleest";"";"";"";"";"";"7089.96";"50.88668493731505";"4.373520991159791"
"etang_bassin";"Mare Château du Belvédère";"";"";"";"";"";"62.73";"50.89051316048859";"4.354408599421138"
"etang_bassin";"Bassin rectangulaire ouest du Square Palmerston";"";"";"";"";"";"136.31";"50.84687591128913";"4.380391221533014"
